Source,Target,Weight
故事,电影,8681
剧情,电影,5335
电影,观众,3861
电影,角色,3665
人物,电影,3460
演员,电影,3368
戏,电影,2811
影片,电影,2799
人物,故事,2638
女主,男主,2539
故事,角色,2416
剧情,故事,2399
电影,镜头,2377
动作,戏,2256
演技,电影,2248
世界,电影,2197
剧本,电影,2139
电影,节奏,2130
女主,电影,2104
电影,结尾,2071
电影,男主,2056
情节,电影,2022
电影,题材,1998
影片,故事,1984
现实,电影,1949
故事,演员,1888
故事,观众,1870
时间,电影,1853
作品,电影,1816
主角,电影,1805
女性,电影,1771
情感,电影,1723
动作,电影,1690
电影,类型,1680
电影,社会,1670
剧情,演技,1652
星,电影,1619
整部,电影,1617
本片,电影,1604
电影,风格,1582
戏,故事,1551
故事,节奏,1539
台词,电影,1530
地方,电影,1521
人物,剧情,1520
剧情,演员,1474
爱情,电影,1472
电影,结局,1460
女主,故事,1454
演员,演技,1437
时代,电影,1435
剧情,角色,1422
整体,电影,1415
电影,画面,1388
关系,电影,1378
故事,镜头,1368
剧情,女主,1366
家庭,电影,1343
剧本,故事,1328
故事,结尾,1303
故事,演技,1292
场景,电影,1287
电影,细节,1270
孩子,电影,1266
世界,故事,1266
意义,电影,1256
故事,男主,1251
电影,观影,1243
主题,电影,1233
故事,线,1230
女性,男性,1227
历史,电影,1217
情节,故事,1203
剧情,戏,1197
电影,音乐,1195
方式,电影,1193
人物,角色,1191
故事,整体,1190
情绪,电影,1189
剧情,男主,1167
电影,编剧,1167
喜剧,电影,1150
电影,逻辑,1146
版,电影,1140
小时,电影,1140
演员,角色,1123
元素,电影,1121
主角,故事,1118
戏,角色,1108
人生,电影,1095
剧情,星,1085
剧情,节奏,1079
场面,电影,1075
剧情,动作,1064
剪辑,电影,1064
故事,背景,1062
故事,结局,1056
情感,故事,1054
故事,时间,1040
电影,过程,1027
作品,故事,1017
故事,画面,1017
电影,线,1015
故事,题材,1000
剧情,观众,997
人类,电影,996
动作,故事,994
电影,空间,994
电影,背景,980
电影,艺术,974
故事,风格,970
战争,电影,969
故事,本片,966
电影,电影院,963
观众,角色,958
内容,电影,952
事件,电影,950
电影,精彩,949
人物,关系,945
剧本,演员,941
剧情,影片,938
地方,故事,937
人物,戏,935
套路,电影,935
电影,视角,932
人物,观众,920
游戏,电影,918
女性,故事,916
政治,电影,912
故事,逻辑,905
感情,电影,904
人物,影片,900
家庭,故事,900
故事,星,899
事,电影,894
剧情,结尾,889
女性,角色,874
父亲,电影,873
戏,演员,869
全片,电影,869
主题,故事,861
影片,角色,858
故事,爱情,855
故事,细节,846
电影,语言,843
小说,电影,843
主角,剧情,842
剧情,逻辑,836
故事,版,836
影片,观众,835
故事,现实,825
故事,编剧,824
人物,镜头,820
剧情,画面,814
剧情,镜头,812
关系,故事,808
演技,角色,807
文化,电影,799
人物,情感,797
故事,类型,795
剧本,角色,786
女儿,电影,783
动作,场面,780
故事,方式,771
形式,电影,768
孩子,故事,768
技术,电影,763
烂片,电影,762
原著,电影,757
成,电影,751
电影,经历,750
人物,演员,749
氛围,电影,746
剧情,老套,745
剧情,整体,743
人物,剧本,737
电影,豆瓣,736
全程,电影,735
场景,故事,728
故事,精彩,724
剧情,结局,723
电影,老师,720
元素,故事,718
电影,精神,717
剧情,台词,716
人物,节奏,716
电影,科幻,715
电影,能力,713
故事,社会,711
体验,电影,705
女人,男人,703
情绪,故事,703
形象,电影,699
水平,电影,697
摄影,电影,695
人物,情节,690
演员,观众,687
台词,故事,686
主演,电影,684
电影,话,684
母亲,电影,681
电影,银幕,680
时间,线,679
故事,时代,678
剪辑,故事,672
想象,电影,671
动画,电影,670
故事,音乐,668
戏,观众,667
电影,部,665
名字,电影,657
世界,现实,654
套路,故事,654
原因,电影,654
感情,故事,653
电影,钱,650
故事,老套,649
气质,电影,648
电影,男人,647
电影,评分,647
电影,脸,645
场面,故事,645
动画,故事,643
电影,观感,639
恐怖片,电影,639
剧情,编剧,636
电影,记忆,635
动作,角色,634
效果,电影,633
剧情,剧本,632
电影,电视剧,632
戏,演技,631
剧情,情节,627
女儿,父亲,624
电影,笑点,624
电影,角度,621
人性,电影,621
电影,质感,619
女人,电影,615
妈妈,电影,614
电影,男女,611
性,电影,609
暴力,电影,609
剧本,戏,609
故事,父亲,608
故事,视角,608
戏,镜头,608
电影,身份,607
印象,电影,605
电影,男性,604
商业,电影,603
人生,故事,601
内心,电影,601
电影,经典,600
剧本,演技,600
剧情,时间,599
演员,镜头,599
影院,电影,599
影片,戏,599
主角,角色,597
故事,氛围,595
剧情,本片,593
事情,电影,591
喜剧,故事,589
水准,电影,588
剧情,套路,587
亮点,电影,587
剧情,题材,586
影片,镜头,585
人物,动作,580
剧情,版,580
电影,结构,580
影片,结尾,578
影片,本片,577
戏,节奏,577
朋友,电影,576
剧情,地方,575
母亲,父亲,575
传统,电影,574
女性,社会,573
宇宙,电影,573
爆米花,电影,572
意义,故事,571
全片,故事,571
观众,镜头,568
剧情,场面,566
感情,戏,566
电影,视觉,562
小时,故事,560
儿子,父亲,558
节奏,角色,558
状态,电影,558
恐怖片,故事,557
女主,角色,556
手法,电影,555
桥段,电影,554
环境,电影,554
情节,角色,553
力量,电影,551
人类,故事,551
女主,演技,550
电影,程度,549
故事,空间,549
情怀,电影,549
电影,网络,548
男主,角色,547
俗套,故事,542
角色,镜头,541
影片,演员,541
影片,节奏,539
人物,逻辑,539
本片,观众,534
电影,黑人,534
本片,角色,533
儿子,电影,533
戏,结尾,532
成本,电影,532
女性,影片,532
人物,情绪,529
影片,情感,527
影片,社会,526
故事,过程,524
电影,老套,523
内容,故事,521
样子,电影,521
戏剧,电影,520
电影,铺垫,519
女孩,电影,519
刻画,电影,518
女儿,故事,518
彩蛋,电影,515
声音,电影,512
剧情,线,512
浪费,电影,510
电影,粉丝,508
概念,电影,506
故事,观影,504
世界,男主,504
人物,结尾,502
摄影,故事,501
情感,角色,501
电影,网,499
心理,电影,498
整体,节奏,498
女儿,母亲,497
作品,剧情,496
影片,情节,496
电影,男,495
梦,电影,495
结尾,角色,494
结尾,观众,492
世界,剧情,492
台词,演员,491
女主,戏,489
台词,角色,487
节奏,观众,486
心,电影,485
女主,结尾,484
国家,电影,483
影片,现实,482
女主,影片,481
作品,影片,481
故事,结构,481
作品,角色,480
事件,故事,480
剧本,观众,478
故事,效果,477
语言,镜头,477
演技,男主,477
剧情,场景,475
俗套,电影,473
垃圾,电影,473
世界,角色,472
事,故事,472
剧,电影,472
女主角,电影,471
演员,节奏,470
现实,社会,470
女主,女性,469
电影,评价,468
电影,评论,468
剧情,风格,467
主角,人物,466
电影,票房,466
故事,科幻,465
主角,观众,464
历史,故事,464
女主,结局,463
戏份,电影,463
段落,电影,462
关系,家庭,461
人物,刻画,461
电影,调度,460
影片,题材,459
人物,动机,458
成,故事,457
剧情,细节,452
本质,电影,451
电影,色彩,448
星,演员,445
电影,魅力,444
关系,角色,444
人物,演技,444
核心,电影,443
女性,视角,443
星,演技,442
电影,鬼,442
世界,影片,441
剧本,节奏,440
技术,故事,440
故事,母亲,439
情感,戏,439
剧情,精彩,438
情感,观众,438
情节,观众,438
剧情,感情,437
剧情,剪辑,437
内核,电影,437
儿童,电影,437
情绪,观众,437
影片,整体,435
演员,男主,434
故事,能力,433
对话,电影,432
地球,电影,432
故事,整部,432
男主,结尾,431
人物,作品,430
男主,结局,430
主角,戏,429
人物,整体,429
化,电影,427
家庭,影片,426
人物,台词,425
味道,电影,425
全片,剧情,425
人物,本片,424
戏,男主,424
时刻,电影,424
文本,电影,423
剧情,动画,423
感情,线,423
人物,场景,422
主线,故事,422
剧情,音乐,421
电影,质量,421
故事,男人,421
女孩,故事,421
场面,戏,421
人物,时间,420
杀人,电影,419
剧本,镜头,419
体验,观影,419
人物,线,416
剧情,喜剧,416
形象,故事,414
台词,戏,414
人物,背景,414
整体,角色,414
节奏,镜头,413
儿子,故事,412
作者,电影,411
主角,影片,411
影片,时间,411
人物,空间,410
女性,观众,409
情绪,角色,409
台词,演技,409
主旋律,电影,408
形式,故事,408
人物,女主,407
意识,电影,407
电影,真人,407
动作,节奏,407
漫画,电影,407
电影,隐喻,407
动机,电影,406
狗,电影,406
剧本,编剧,406
气,电影,405
影片,风格,405
国产,电影,403
兄弟,电影,403
亮点,故事,403
剧情,情感,401
关系,剧情,401
俗套,剧情,400
主线,电影,400
大片,电影,400
丧尸,电影,400
故事,观感,399
代表,电影,398
世界,女主,398
人物,题材,397
人类,地球,397
结尾,节奏,397
电影,身体,397
演员,编剧,397
故事,程度,397
家庭,父亲,396
电影,院线,396
人性,故事,396
作品,观众,395
人物,细节,395
戏,整体,395
情节,演员,395
人物,现实,393
动物,电影,393
动作,镜头,392
全程,剧情,392
孩子,母亲,392
处,电影,391
类型,观众,391
演员,结尾,390
电影,配角,390
故事,文化,389
情节,节奏,389
剧情,现实,388
女主,星,388
类型,角色,388
关系,情感,388
孩子,家庭,388
女人,故事,388
人物,风格,387
命运,电影,386
角色,风格,386
宗教,电影,386
歌,电影,386
时间,角色,386
灵魂,电影,385
演员,题材,385
剧情,小时,384
人物,类型,384
演技,观众,384
动作,演员,384
戏,本片,383
电影,颜值,383
新意,电影,382
恶心,电影,382
主题,影片,382
故事,游戏,382
结尾,镜头,381
故事,语言,381
时间,观众,381
故事,新意,381
原著,故事,381
电影,重点,381
亲情,电影,381
动作,动作片,381
典型,电影,381
剧情,背景,380
故事,身份,379
女性,男人,379
字幕,电影,378
政治,故事,377
剧情,恐怖片,377
气氛,电影,376
故事,桥段,376
女主,演员,375
演技,镜头,375
女主,观众,374
孩子,父母,374
女主,孩子,373
故事,视觉,373
层面,电影,373
电影,路,372
戏,精彩,371
主题,剧情,371
总体,电影,370
元素,剧情,370
内核,故事,369
爸爸,电影,369
剧作,电影,369
影片,方式,367
情绪,戏,367
家庭,社会,367
人物,画面,366
开场,电影,366
电影,饰演,366
温情,电影,366
电影,男主角,366
情节,戏,365
女性,家庭,365
牛,电影,364
想象,故事,364
剧情,狗血,364
价值,电影,364
戏,爱情,364
编剧,角色,364
剧本,影片,364
战争,故事,364
动作,观众,364
关系,影片,364
世界,人物,363
世界,人类,362
传统,故事,362
影片,演技,362
女人,女性,362
学生,老师,362
剧情,孩子,361
故事,铺垫,361
影片,男主,361
演技,节奏,361
剪辑,镜头,360
家庭,角色,359
故事,狗,359
剧情,氛围,358
动作,影片,358
亮点,剧情,358
画面,镜头,357
地方,角色,357
剧情,游戏,357
世界,观众,356
故事,男女,356
故事,精神,356
故事,水平,356
故事,经历,355
故事,浪费,355
时间,空间,355
剧情,爱情,355
地球,流浪,354
故事,電影,354
人物,场面,354
现实,角色,353
世界,孩子,352
女主,节奏,351
女主,镜头,351
角色,逻辑,351
故事,概念,351
全片,角色,350
主,男女,350
手法,故事,350
电影,胶片,350
文艺,电影,350
剧情,类型,349
角色,题材,349
大陆,电影,349
剧本,台词,348
故事,气氛,347
戏,类型,346
合格,电影,346
标准,电影,346
故事,话,345
动人,电影,345
电影,神,345
主演,故事,345
剧情,脸,345
整体,演员,345
版,角色,344
家庭,情感,344
场面,角色,344
故事,气质,344
学生,电影,344
孩子,父亲,344
电影,配音,344
利用,电影,343
妈妈,孩子,343
剧情,烂片,343
结局,角色,342
电影,黑色,342
男,男主,341
人物,男主,341
主角,光环,341
全程,故事,341
电影,电视,340
线,角色,340
爱情,男主,339
白人,黑人,339
剧情,颜值,339
剧情,女性,338
人物,编剧,338
男性,角色,338
评分,豆瓣,338
电影,眼睛,338
主角,男女,336
故事,角度,336
父母,电影,336
电影,缺点,335
男主,观众,334
印象,故事,334
原作,电影,334
剧本,结尾,334
主题,角色,334
剪辑,节奏,334
事件,人物,334
创作者,电影,334
关系,戏,333
影片,整部,333
故事,鬼,333
少女,电影,333
人物,社会,332
小女孩,电影,332
小孩,电影,332
台词,观众,331
内心,故事,331
地方,演员,331
剧本,女主,330
女主,颜值,330
人物,地方,330
影片,空间,330
形象,角色,329
现实,观众,329
剪辑,戏,329
技巧,电影,328
电影,长镜头,328
剧情,整部,327
故事,经典,327
观众,题材,327
主演,剧情,326
全片,戏,325
女主,爱情,325
观众,风格,325
人物,历史,325
社会,观众,325
性格,电影,324
星,男主,324
剪辑,演员,324
机会,电影,324
台词,镜头,324
影片,类型,324
剧情,笑点,324
故事,男,323
剧本,动作,323
故事,质感,323
人物,时代,322
男主,男女,321
所有人,电影,320
女主,母亲,320
电影,讲故事,320
电影,美学,319
故事,朋友,319
婚姻,故事,319
狗血,电影,319
戏,星,318
影片,画面,318
戏,时间,318
正义,电影,318
情况,电影,318
态度,电影,317
影片,父亲,317
作品,演员,317
历史,影片,316
动画,真人,316
动作片,电影,316
情节,结尾,315
本片,演员,315
手,电影,315
动作,本片,315
剧本,情节,315
人物,剪辑,315
场景,戏,315
影片,结局,314
女主,男,314
主角,女主,314
背景,角色,314
孩子,影片,314
优点,电影,313
戏,文戏,313
性,故事,312
人物,女性,312
情绪,镜头,312
代入,电影,312
灾难,电影,312
戏,风格,312
用心,电影,312
电影,造型,311
情绪,演员,311
故事,记忆,311
演技,题材,311
场景,角色,310
空间,角色,310
交代,电影,310
女主,男女,310
价值观,电影,310
妈,电影,310
情节,演技,310
心,故事,310
商业片,电影,310
影片,意义,310
孩子,男主,310
类型,节奏,310
观众,观影,309
影片,观影,309
世界,时间,308
字,电影,308
剧本,男主,308
主角,男主,307
故事,核心,306
影片,情绪,306
剧情,观影,306
结局,观众,305
星,角色,305
剧情,情绪,305
丈夫,妻子,305
主题,人物,305
故事,笑点,305
情感,镜头,305
共情,电影,305
人类,机器人,304
原本,电影,304
女主,本片,304
地方,戏,304
市场,电影,304
作品,本片,304
感人,电影,304
场景,影片,304
妈妈,故事,304
剧情,家庭,303
电影,纪录片,303
年度,电影,303
地方,影片,303
剧情,科幻,303
意义,角色,302
世界,结尾,302
人物,状态,302
女主角,故事,302
故事,老师,302
文戏,电影,302
方式,观众,301
细节,观众,301
主,女主,301
权力,电影,301
小说,故事,301
人物,全片,301
