id,Label,Weight
电影,电影,37649
故事,故事,23141
剧情,剧情,17328
角色,角色,7963
演员,演员,7424
人物,人物,7266
女主,女主,7206
戏,戏,6992
演技,演技,6601
男主,男主,6223
影片,影片,6065
结尾,结尾,5792
观众,观众,5702
星,星,5665
剧本,剧本,5495
节奏,节奏,5401
世界,世界,5161
镜头,镜头,4887
结局,结局,4489
题材,题材,4461
情节,情节,4385
动作,动作,4166
主角,主角,4137
版,版,3957
时间,时间,3913
作品,作品,3600
整体,整体,3592
孩子,孩子,3528
女性,女性,3503
地方,地方,3381
情感,情感,3364
爱情,爱情,3311
家庭,家庭,3269
逻辑,逻辑,3259
现实,现实,3246
画面,画面,3186
台词,台词,3166
风格,风格,3113
本片,本片,3097
编剧,编剧,3058
社会,社会,3009
类型,类型,2963
喜剧,喜剧,2915
关系,关系,2898
恐怖片,恐怖片,2839
套路,套路,2834
音乐,音乐,2617
细节,细节,2610
场面,场面,2589
线,线,2573
人生,人生,2560
场景,场景,2536
小时,小时,2509
烂片,烂片,2509
主题,主题,2506
元素,元素,2504
人类,人类,2498
时代,时代,2406
全片,全片,2372
情绪,情绪,2351
精彩,精彩,2340
剪辑,剪辑,2308
感情,感情,2303
意义,意义,2229
方式,方式,2189
战争,战争,2104
全程,全程,2094
历史,历史,2091
脸,脸,2063
动画,动画,2055
女儿,女儿,2046
父亲,父亲,2037
背景,背景,2037
氛围,氛围,2024
事,事,2011
鬼,鬼,1946
男人,男人,1940
科幻,科幻,1926
游戏,游戏,1923
政治,政治,1915
老套,老套,1885
过程,过程,1884
视角,视角,1870
空间,空间,1867
女人,女人,1841
观影,观影,1793
内容,内容,1776
亮点,亮点,1771
成,成,1756
母亲,母亲,1739
话,话,1732
浪费,浪费,1705
狗,狗,1651
水平,水平,1650
主演,主演,1639
事件,事件,1635
效果,效果,1634
摄影,摄影,1625
钱,钱,1624
整部,整部,1601
儿子,儿子,1562
笑点,笑点,1545
文化,文化,1544
人性,人性,1538
电影院,电影院,1537
能力,能力,1525
老师,老师,1521
形象,形象,1498
网,网,1495
想象,想象,1487
男女,男女,1480
女孩,女孩,1479
剧,剧,1472
垃圾,垃圾,1471
精神,精神,1455
男,男,1454
妈妈,妈妈,1435
朋友,朋友,1414
暴力,暴力,1405
心,心,1384
记忆,记忆,1383
颜值,颜值,1376
观感,观感,1368
内心,内心,1361
俗套,俗套,1357
印象,印象,1353
桥段,桥段,1335
黑人,黑人,1326
程度,程度,1315
名字,名字,1315
样子,样子,1300
新意,新意,1300
铺垫,铺垫,1285
经典,经典,1275
杀人,杀人,1260
语言,语言,1260
气质,气质,1250
原著,原著,1243
心理,心理,1231
宇宙,宇宙,1217
概念,概念,1206
经历,经历,1196
形式,形式,1194
事情,事情,1192
小孩,小孩,1180
艺术,艺术,1177
戏份,戏份,1176
梦,梦,1172
豆瓣,豆瓣,1172
性,性,1170
评分,评分,1166
味道,味道,1158
身份,身份,1158
成本,成本,1148
歌,歌,1147
恶心,恶心,1133
气氛,气氛,1132
结构,结构,1131
质感,质感,1125
声音,声音,1123
女主角,女主角,1117
体验,体验,1111
水准,水准,1110
少女,少女,1103
视觉,视觉,1099
情怀,情怀,1096
手法,手法,1091
技术,技术,1091
状态,状态,1085
彩蛋,彩蛋,1082
原因,原因,1076
狗血,狗血,1076
传统,传统,1074
小说,小说,1070
环境,环境,1066
妈,妈,1063
力量,力量,1057
总体,总体,1056
地球,地球,1053
男性,男性,1047
电视剧,电视剧,1045
动物,动物,1045
電影,電影,1042
爸爸,爸爸,1040
角度,角度,1030
刻画,刻画,1024
造型,造型,1015
温情,温情,1012
牛,牛,999
影院,影院,998
兄弟,兄弟,986
动作片,动作片,986
魅力,魅力,985
神,神,982
宗教,宗教,977
手,手,976
眼睛,眼睛,968
部,部,967
感人,感人,965
配音,配音,964
国家,国家,954
国产,国产,946
小女孩,小女孩,944
段落,段落,943
身体,身体,941
丧尸,丧尸,936
灵魂,灵魂,927
化,化,927
内核,内核,904
命运,命运,904
配角,配角,901
动机,动机,897
对话,对话,896
银幕,银幕,895
调度,调度,891
正义,正义,885
爆米花,爆米花,878
意识,意识,876
漫画,漫画,872
时刻,时刻,871
开场,开场,868
儿童,儿童,865
主线,主线,863
气,气,855
路,路,853
父母,父母,850
亲情,亲情,846
粉丝,粉丝,837
色彩,色彩,836
主,主,832
典型,典型,824
隐喻,隐喻,824
字幕,字幕,805
交代,交代,804
剧作,剧作,803
动人,动人,802
大片,大片,799
质量,质量,789
所有人,所有人,777
评论,评论,777
商业,商业,775
男主角,男主角,771
处,处,768
文戏,文戏,756
婚姻,婚姻,755
代表,代表,754
戏剧,戏剧,754
文艺,文艺,746
文本,文本,732
重点,重点,730
本质,本质,730
利用,利用,729
灾难,灾难,725
核心,核心,721
机器人,机器人,719
评价,评价,715
合格,合格,715
真人,真人,712
性格,性格,706
字,字,699
用心,用心,699
票房,票房,698
主旋律,主旋律,682
原本,原本,667
标准,标准,664
缺点,缺点,662
原作,原作,658
大陆,大陆,656
情况,情况,655
学生,学生,654
妻子,妻子,654
机会,机会,652
代入,代入,646
网络,网络,637
层面,层面,634
年度,年度,622
长镜头,长镜头,617
商业片,商业片,598
作者,作者,597
丈夫,丈夫,592
价值,价值,586
美学,美学,577
共情,共情,574
讲故事,讲故事,560
纪录片,纪录片,553
价值观,价值观,533
优点,优点,530
黑色,黑色,528
态度,态度,495
饰演,饰演,481
院线,院线,478
白人,白人,463
光环,光环,463
权力,权力,441
技巧,技巧,439
创作者,创作者,417
电视,电视,413
市场,市场,393
流浪,流浪,317
胶片,胶片,276
