__label__like , 逃狱 好看 片子
__label__like , 自由
__label__nlike , hope good thing
__label__nlike , 真的 喜欢 好看 感觉
__label__like , 地方 生活 热情 男主放 音乐 真的 震撼 无尽 黑暗 寻求 友情 快乐 男主 生活 态度 影响 监狱 第一次 发现 经济 有用
__label__nlike , 喜欢 摩根 弗里
__label__nlike , 一般般
__label__nlike , 男人 触动
__label__like , 真的 励志
__label__nlike , 明明 勇敢 心式 狗血
__label__nlike , hope good thing
__label__nlike , 
__label__like , 经典 经典
__label__like , 希望 带来 绝望
__label__like , 下半生 老婆 黑暗 看着 舒服 .-
__label__nlike , 虚假 巧合 当作 精妙 突兀 后果 使人 惊叹 启发 脱离 决绝
__label__like , 经典 经典 记得 豆瓣 影评 最高分
__label__nlike , 经典 复制
__label__like , 自由 生命 一日 逃脱
__label__like , 希望
__label__nlike , 基督山 伯爵 完美 变奏 体制 主题 永远 上班族 遍看 配乐 bbm Trailer 害得 穿越
__label__like , 分钟 振奋
__label__nlike , 影视 鉴赏 好处 没看 电影
__label__nlike , 确实 经典
__label__nlike , 好评 不差
__label__like , 深深 震撼
__label__like , 无冕之王
__label__nlike , 喜欢 摩根 弗里
__label__nlike , 原來 那個 鏡頭 這部 電影 總算 imdb 最高分 電影 評分 給了
__label__nlike , 真的 喜欢 好看 感觉
__label__like , 启蒙 电影
__label__nlike , 自由 高于 生命
__label__like , 理性 胜利 生命 救赎
__label__like , 争议 经典
__label__nlike , 喜欢 救赎
__label__nlike , 大众 经典 感冒 欣赏 水平 不行
__label__nlike , 好片 解释
__label__like , good
__label__like , 希望 友情
__label__like , 记得 高中 网球 下课后 美术课 疲惫 动弹 身体 汗毛 竖立
__label__like , 精彩 安迪 自我 救赎 励志 鼓励 希望 真的 黑暗 社会 改造
__label__nlike , 硕大 阶梯教室 精彩 电影 那份 震撼 激动 历历在目
__label__like , 史蒂芬 故事 影帝 罗宾斯 弗里 老戏骨 永恒 经典 当年 惜败 阿甘正传 IMDB 得分 充分说明 影迷 心中 无冕之王
__label__like , 
__label__nlike , 希望 事情
__label__nlike , 自作聪明
__label__nlike , 
__label__like , 故事 告诉 社会 经济 监狱 官场
__label__like , 黑鬼 演技
__label__like , 喜欢 影片 影响 人心 启发 心性
__label__nlike , 硕大 阶梯教室 精彩 电影 那份 震撼 激动 历历在目
__label__like , 
__label__nlike , 喜欢 救赎
__label__nlike , Your friend Andy
__label__like , 喜欢
__label__like , 不可不 电影 经典
__label__nlike , 信念
__label__nlike , 好片 解释
__label__like , 监狱 单调 背景 总有 故事 伏笔 巧妙 表演 出彩 深刻 批判 美国 司法制度 撕破 民主 社会 虚伪 画皮 无可挑剔
__label__like , 挖洞
__label__like , 经典 电影 经得起 时间 推敲 主人公 终于 智慧 赢得 自由 希望 感动
__label__like , 希望 东西 害人 救人
__label__nlike , 自作聪明
__label__nlike , 原來 那個 鏡頭 這部 電影 總算 imdb 最高分 電影 評分 給了
__label__like , 不想 冠之以 男银必 帽子
__label__like , 图书 管理 出狱 经历 令人深思
__label__like , 圣经 确实 救人 危难
__label__nlike , 好奇 这部 过度 赞誉 地步
__label__like , 监狱 设会 缩影 蒙冤 安迪 放弃 赢得 尊重 地位 友谊 自由
__label__nlike , 好奇 这部 过度 赞誉 地步
__label__like , 最爱 电影 至少 看过 看着 画面 背台词 失望 绝望 放弃 很苦 总会 想到 这部 电影 总会 想到 安迪 振作起来 感谢 这部 电影 不知 次伴 坦然 面对 不顺
__label__like , 爆菊
__label__like , 喜欢 阿甘 类型 满分
__label__nlike , 地方 落下 泪来
__label__nlike , 经典 复制
__label__like , 励志 经典
__label__like , 梦想 梦想 隐忍 付出 几十年
__label__like , 一张 魅力 老脸
__label__like , 振奋
__label__like , 男人 强大 姐妹 调戏 样子 好受
__label__like , 最最 最最 好看 电影
__label__like , 这片 扯淡 美国 小资 臆想 结尾 老黑 沙滩 小白 相会 第一 这俩 一对 玻璃
__label__nlike , 类型 想要 感人 挺难 一点 不觉 震撼
__label__nlike , Your friend Andy
