content,Positive,Neutral,Negative,Sentiment
外星人和创世，,0.50024253,,0.49975747,positive
搞出了外星人创世这套血low的背景，,0.48409627,,0.51590373,negative
她自始至终都在用行为证明着上帝创世之初的箴言，,0.54463825,,0.45536175,positive
伊特占有创世晶石（为复活妻子），,0.51095076,,0.48904924,positive
非得硬套一个宏大的创世背景，,0.5644501,,0.4355499,positive
在弑父（神）背后是她对创世神话和英雄神话的抵抗与消解。,0.55827993,,0.44172007,positive
《永恒族》的创世神话确实比一般的MCU电影更加严肃与宏大。,0.594674,,0.405326,positive
也许正是某个“神现”创世呢。,0.52976793,,0.47023207,positive
尤其是和日本的诞生、宇宙创世日记风格类似，,0.56199436,,0.43800564,positive
难度无异于创世。,0.4952969,,0.5047031,negative
古埃及神话里的创世神。,0.52434084,,0.47565916,positive
响指创世中二得够帅，,0.64578292,,0.35421708,positive
已经为创世迈出一步。,0.5309753,,0.4690247,positive
而导演则把爱情上升到了创世一般的高度。,0.51705546,,0.48294454,positive
这是创世。,0.49823019,,0.50176981,negative
创世邪神与人缔结约定，,0.5044758,,0.4955242,positive
创世神一怒之下带领群尸大开杀戒。,0.46055742,,0.53944258,negative
【C+】于是东木再一次把《完美的世界》以更加保守、温情且刻板的方式重演了一遍。,0.52274456,,0.47725544,positive
温情还在，,0.50162212,,0.49837788,positive
还有一条看似平淡但同时也非常温情的爱情线；他不再是英雄，,0.49721082,,0.50278918,negative
电影中渴望温情和解的情节越来越多了，,0.58226409,,0.41773591,positive
公路+温情的题材是东木所擅长的，,0.49299423,,0.50700577,negative
温情地自然，,0.50034556,,0.49965444,positive
走温情路线，,0.50248176,,0.49751824,positive
爷孙的温情，,0.5024995,,0.4975005,positive
剧作水平也就和骡子差不多了找小男孩的故事也很老套不如说去墨西哥找鸡可能还更有趣但真是温情得要命啊暮年回顾一生还是想要回归家庭当东木借着角色的口说出Idon'tknowhowtocureold我是真的有泪目,0.43824012,,0.56175988,negative
往常的夫子自道也开始变得温情甚至是温吞。,0.39269773,,0.60730227,negative
但是给人带来温情和力量，,0.57129523,,0.42870477,positive
沉浸在人性的温情里，,0.51456832,,0.48543168,positive
本以为一嗨到底没想到打了温情牌，,0.56902798,,0.43097202,positive
温情牌打得不知道高明多少。,0.69540349,,0.30459651,positive
血性年轻疯狂暴躁重金属后段的转变温情友谊结尾的花絮也是好看人物还原给满分,0.52346797,,0.47653203,positive
还有它温情、柔软、感动的一面，,0.72846836,,0.27153164,positive
包裹在末世题材下的温情片，,0.50146198,,0.49853802,positive
温情，,0.50001319,,0.49998681,positive
机器人的温情脉脉段落最佳。,0.66865659,,0.33134341,positive
搞笑、温情、冒险都平衡得很好，,0.58430633,,0.41569367,positive
温情，,0.50001319,,0.49998681,positive
但还是很温情的是吗？,0.56110008,,0.43889992,positive
而电影着重突出了母女之间的温情和关爱,0.59846212,,0.40153788,positive
也挺温情。,0.65797039,,0.34202961,positive
突然觉得有个孩子还真是一个很温情的事情。,0.50831623,,0.49168377,positive
对家庭的描写兼具写实与温情。,0.52497468,,0.47502532,positive
在其中寻找到对这个世界满满的好奇心和温情。,0.62694143,,0.37305857,positive
2022了我需要这样温情的片子。,0.58725867,,0.41274133,positive
喜剧家庭温情感人！,0.72972071,,0.27027929,positive
这部不像《寻梦环游记》那样走外在的温情路线，,0.53464105,,0.46535895,positive
也有温情感动。,0.73095886,,0.26904114,positive
Undone明显更符合逻辑、更可控、也更温情，,0.49824391,,0.50175609,negative
但是又在严肃温情路线和爆米花路线之中摇摆不定，,0.52834277,,0.47165723,positive
同时也不乏温情。,0.49733214,,0.50266786,negative
90岁的老爷子把世间的荒唐虚伪和温情都看得透透的了，,0.43987647,,0.56012353,negative
与战友间的逗趣温情交相呼应，,0.64493358,,0.35506642,positive
咒怨还要套几条家庭线来刻意温情……,0.30106079,,0.69893921,negative
影片结尾倒是滋生一种永恒的温情。,0.55750856,,0.44249144,positive
它一直致力于展示美式家庭温情和怪物奇观，,0.56943142,,0.43056858,positive
不过当喜剧看还算温情有趣。,0.72226093,,0.27773907,positive
而且和《闪电侠》一样打温情牌。,0.55897539,,0.44102461,positive
不再是《潜伏》《招魂》两系列式的温情恐怖片，,0.54475706,,0.45524294,positive
但温情升华方面还是挺薄弱的，,0.49108306,,0.50891694,negative
但结尾的正气温情仍然差那么点意思。,0.34137956,,0.65862044,negative
最后温情结尾，,0.46665368,,0.53334632,negative
金先生真的是个很温情脉脉的人吧！,0.52777132,,0.47222868,positive
却塑造成有情有义有爱心还温情脉脉的“好人”，,0.65796162,,0.34203838,positive
也有温情的瞬间。,0.63575052,,0.36424948,positive
只是细枝末节的爱心、温情以及精神状态这些元素，,0.68798823,,0.31201177,positive
温情又残忍的黑色结局处理，,0.31197278,,0.68802722,negative
如果说与宣萱之间的对手戏增加了影片的幽默和温情的话，,0.5974475,,0.4025525,positive
想法是好的督查与受害者联手报仇金钱诱惑让好人黑化废柴差人是猫奴劫匪也有温情的一面（三观随反派颜值高低自由改变）选角也是好的包括鹦鹉最大败笔是人物性格构建有矛盾,0.41193221,,0.58806779,negative
最出彩段落的应该是出租屋的温情戏了，,0.55352749,,0.44647251,positive
感觉像是《死神来了》+《午夜凶铃》的温情美好结局版,0.53919135,,0.46080865,positive
众人异常“魔怔”的言行让人啼笑皆非的同时其背后的个人故事又带有丝丝温情抚慰人心，,0.50044416,,0.49955584,positive
惊险刺激的主线剧情又搭配了温情的文戏，,0.52629327,,0.47370673,positive
另外儿子这个角色给电影带来很多喜剧温情的戏码。,0.62712607,,0.37287393,positive
讨厌过度温情的人物改编，,0.2968107,,0.7031893,negative
伯德小姐的小委屈加佛朗西斯哈的姐妹情等于Jo被温情打折了腿的女权。,0.43925229,,0.56074771,negative
故事中饱含了所有人物对生活的乐观和对家人朋友的温情，,0.68037535,,0.31962465,positive
！（说真的四位天使小姐妹温情美好又叽叽喳喳的生活，,0.67747339,,0.32252661,positive
故事偏温情，,0.50019187,,0.49980813,positive
不错的温情电影吧。,0.72640488,,0.27359512,positive
但是也还是透出一点点温情。,0.57000819,,0.42999181,positive
温情而又不逾矩。,0.55206107,,0.44793893,positive
玛丽演的母亲很温情，,0.55678804,,0.44321196,positive
小成本温情片，,0.5406823,,0.4593177,positive
感觉是温情片…,0.5857055,,0.4142945,positive
还好值得一看温情片,0.72473455,,0.27526545,positive
都是温情片，,0.54761421,,0.45238579,positive
女主所谓神秘的背景却以温情和道德的面膜收场，,0.47319815,,0.52680185,negative
老少皆宜这次温情牌打的不错向ET致敬,0.72944695,,0.27055305,positive
对反派的处理也多了温情。,0.52159312,,0.47840688,positive
"默片里的佳作!有些搞怪无厘头真是太阖家欢乐了,最后也很温情.只是这个farmageddon该怎么翻译比较好,一点也不末日啊,还是台版翻译比较直接.",0.69898559,,0.30101441,positive
挺治愈温情的片子，,0.53168975,,0.46831025,positive
后面怎么强行温情去了……,0.41318241,,0.58681759,negative
主打温情或许是不如上一部搞笑的原因，,0.51579398,,0.48420602,positive
学校的温情友情爱情，,0.50685104,,0.49314896,positive
看完之后还是有点温情喜剧的感觉，,0.46206649,,0.53793351,negative
很温情，,0.5009392,,0.4990608,positive
可惜既没有前者温情，,0.40205361,,0.59794639,negative
讲家的实质是一份温情和依恋，,0.53500118,,0.46499882,positive
温情的让人感觉这样就好,0.7109643,,0.2890357,positive
还可以的韩式温情剧还好剧中人物没有得绝症,0.60736825,,0.39263175,positive
"还算温情,",0.73023359,,0.26976641,positive
毕竟后面有温情部分还是哭了。,0.54597182,,0.45402818,positive
几十年浮光掠影偏又放大痛苦最后还归于温情脉脉哪个靠谱的影视公司把时间捋一捋改成连续剧也许可行,0.40621769,,0.59378231,negative
而且尾部“失独”父母与养子温情互动的场景，,0.50659174,,0.49340826,positive
DariusMarder的编导有12年松林外的冷峻和温情间的平衡，,0.56582165,,0.43417835,positive
有开心与温情的部分，,0.64376732,,0.35623268,positive
火车上父子相卧不失为年度温情时刻，,0.55682422,,0.44317578,positive
影片所展现的家庭温情的内核很让人感同身受。,0.56037008,,0.43962992,positive
广州特有的温情和小气。,0.44771671,,0.55228329,negative
反而显得后面几十年都像是混日子...镜头很冷但反而给人温情的感觉，,0.42844467,,0.57155533,negative
不失温情，,0.49986542,,0.50013458,negative
温馨温情的一部电影，,0.58073823,,0.41926177,positive
结尾有点温情…国产喜剧是什么毛病？,0.40045917,,0.59954083,negative
逗不笑你就硬往温情上头扯？,0.33200008,,0.66799992,negative
大众温情片段网罗的套路了啊，,0.46764482,,0.53235518,negative
搞笑而又温情。,0.53811973,,0.46188027,positive
电影温情浓厚，,0.60366335,,0.39633665,positive
只能当成一次大场歌舞情景再现唱曲并没有在声效的加持下抓住人心悬疑和温情的杂糅也撑不起想要呈现的奇幻味道,0.5958758,,0.4041242,positive
偏温情的大路货，,0.4277956,,0.5722044,negative
后半段温情十足，,0.53309907,,0.46690093,positive
但是故事充满了温情。,0.61304288,,0.38695712,positive
我认为人性中的温情是可以一再强调的，,0.6095039,,0.3904961,positive
但又透漏着温情脉脉的剧情线。,0.50669517,,0.49330483,positive
欢乐温情～,0.73105841,,0.26894159,positive
固定套路的温情励志故事，,0.6110652,,0.3889348,positive
很可爱~~家庭温情片。,0.72836791,,0.27163209,positive
1.隔靴搔痒走马观花的温情小品，,0.46730317,,0.53269683,negative
强行煽情强行温情强行发飙。,0.2847653,,0.7152347,negative
用中国传统小食调配出人间温情，,0.51953689,,0.48046311,positive
这真的是部温情片，,0.54689126,,0.45310874,positive
中国应该把属于我们自己的温情故事拍好，,0.64838197,,0.35161803,positive
品别样温情。,0.59973698,,0.40026302,positive
温情不足，,0.55711993,,0.44288007,positive
性喜剧与家庭温情剧融合在一起，,0.53085834,,0.46914166,positive
再加一些家庭温情。,0.57215193,,0.42784807,positive
因为没抱太大希望所以感觉意外地还不错家庭温情剧嘛图个不费脑和开心,0.70591719,,0.29408281,positive
但叶师傅的温情却是以往的功夫大师们所不曾有过的。,0.56798917,,0.43201083,positive
有温情有豪迈！,0.72808026,,0.27191974,positive
拍得挺有趣温情的。,0.72787358,,0.27212642,positive
老式温情,0.71388371,,0.28611629,positive
完整、温情。,0.63003565,,0.36996435,positive
《瓦力》的温情，,0.50224439,,0.49775561,positive
一点插科打诨+一点温情，,0.5117621,,0.4882379,positive
也是好久没看这种温情片了，,0.47562745,,0.52437255,negative
老汤出演这类片子多半是个温情片，,0.53262549,,0.46737451,positive
算是比较套路的末世温情片，,0.66027862,,0.33972138,positive
拍得精致又温情，,0.59967712,,0.40032288,positive
没想到是一个温情满满的公路电影。,0.66033879,,0.33966121,positive
明明前面都觉得没什么怎么最后差点哭了dewey真的好惨明信片上都没他的/还以为jeff掉了的螺丝钉会导致jeff坏了或者死机结果敲出来就没事了🤷‍♀️/一人一狗俩机器人工智能变人工智障是不是toohuman了一点/末日温情公路片,0.35183339,,0.64816661,negative
当机器被动物认可便拥有了人性末日温情,0.65624947,,0.34375053,positive
原来是一部温情片，,0.61236446,,0.38763554,positive
黄沙废土也能散发温情可爱，,0.33602903,,0.66397097,negative
末世公路温情片，,0.56761123,,0.43238877,positive
公路+温情也让人玩烂了，,0.36294124,,0.63705876,negative
结果就有人把软科幻+公路+灾难+温情还能玩的明明白白！,0.57446893,,0.42553107,positive
而不乏些温情轻幽默，,0.54748654,,0.45251346,positive
